acao,id,nome,ref,detalhe
orcid_removido_llm_lote2,2825,Sérgio Ricardo dos Santos,0000-0003-3999-093X,"químico analítico IFPB, homônimo de nome comum"
orcid_removido_llm_lote2,2827,Sonia Fuentes,0000-0002-4595-855X,"psicologia/educación Chile, incompatível com USAC"
orcid_removido_llm_lote2,2857,Rebeca Sabóia Martins,0009-0004-0328-1546,perfil vazio e sobrenomes divergem (Sabóia vs Figueira)
orcid_removido_llm_lote2,2868,Caroline Liu,0000-0002-6684-026X,"nefrologia EUA, incompatível"
orcid_removido_llm_lote2,2894,Renata de Morais Santos Cunha,0009-0000-2000-0559,"obra nutrição infantil, Morais ausente, área diversa"
orcid_removido_llm_lote2,2920,Mauricio Cavalcante Lima,0000-0002-3700-2945,"macroecologia populacional, incompatível com Severiano Porto/FAU-USP"
orcid_removido_llm_lote2,2965,Ana Rosa Soares Negreiros,0000-0001-8564-8882,"Ana Cristina vs Ana Rosa, pessoa diversa"
orcid_removido_llm_lote2,2986,Felipe Siqueira,0000-0002-9385-5053,"obra teologia bíblica, incompatível"
orcid_removido_llm_lote2,2993,Lorena Petrovich Pereira de Carvalho,0009-0000-6592-1298,"médica veterinária, Petrovich vs Ramos divergem"
orcid_removido_llm_lote2,3008,Maria Clara Primo Passos,0000-0002-9160-957X,"educação decolonial USP, Primo vs Araújo divergem"
orcid_removido_llm_lote2,3013,Yasmin Rodrigues,0000-0001-9771-7523,"medicina/genética, incompatível"
orcid_removido_llm_lote2,3018,Flávia Fernanda de Sousa Costa Castro,0000-0003-3031-6682,"fisioterapeuta paliativista PA, sobrenomes divergem"
orcid_removido_llm_lote2,3197,Isadora Paiva,0000-0002-2741-150X,"imunologia/COVID, incompatível com DARQ-UFRN"
orcid_removido_llm_lote2,3198,Jeová de Barros,0009-0008-5257-7799,"direito ULBRA, incompatível com PPGAU-UFPA"
orcid_removido_llm_lote2,3203,Vanessa Cordeiro,0000-0003-4111-1121,"filosofia antiga, incompatível"
orcid_removido_llm_lote2,3220,Marília Brito,0000-0002-3029-2361,"psicóloga BA, incompatível com MDU-UFPE"
orcid_removido_llm_lote2,3242,Clara T. Peres,0000-0003-1632-2007,"obras oncologia, incompatível"
orcid_removido_llm_lote2,3243,Camilla Gomes,0000-0001-6993-7289,"professora de direito UniCEUB, incompatível"
orcid_removido_llm_lote2,3254,Fabiana Nathalie Ferreira,0000-0002-8513-1418,"Nathalie vs Julio, obras cinema/filosofia"
orcid_removido_llm_lote2,3271,Maria Cecília Tavares,0000-0002-6825-1784,"química analítica AL, Cecília vs Célia"
orcid_removido_llm_lote2,3299,Tamara Vieira,0009-0001-4735-037X,"patologia molecular UFMG, incompatível com FAG-PR"
orcid_removido_llm_lote2,3306,Caio Smolarek Dias,0000-0003-1061-0550,"antropólogo Gonçalves, não é o Smolarek de Cascavel"
orcid_removido_llm_lote2,3319,Juliana Pêgo de Mello,0000-0002-9419-1244,"historiadora da educação FURB, Pêgo vs Moraes"
orcid_removido_llm_lote2,3359,Sílvia Lopes Carneiro Leão,0000-0001-9109-8127,"obras cardiologia, homônima da professora DA-UFRGS"
orcid_removido_llm_lote2,3431,Cláudia Sobreira,0000-0002-7420-1644,"médica FMRP-USP, não é a autora Docomomo"
orcid_removido_llm_lote2,3466,Gustavo Leal,0009-0000-4822-0772,"gestão de aviação FGV/ITA, incompatível com PROURB"
orcid_removido_llm_lote2,3478,Paulo Pacheco,0000-0001-5976-5006,"história das religiões IFRJ/UERJ, autor é UFPR"
orcid_removido_llm_lote2,3561,Ana Beatriz Pahor Pereira da Costa,0000-0001-5137-4094,"obra tuberculose, Pahor vs Nascimento divergem"
orcid_removido_llm_lote2,3587,Ana Esteban Maluenda,0000-0002-7786-9252,Ana Almagro Esteban de Jaén não é Esteban Maluenda da UPM
orcid_removido_llm_lote2,3601,Guilherme Pianca Moreno,0000-0003-3190-4777,"coordenador em indústria odontológica, Pianca vs Guedes"
orcid_removido_llm_lote2,3627,Marcelo Pimenta,0000-0002-4712-089X,"professor de computação/IHC UFRGS, autor é FAU-UnB"
orcid_removido_llm_lote2,3648,Marina Pedreira de Lacerda,0000-0003-0755-1916,"cientista política (Bolsonaro), Pedreira vs Basso"
orcid_removido_llm_lote2,3671,Tainá Tábata Fialho Martins,0000-0002-1738-0041,"graduanda nutrição UFPA, autor é DAU-UFV"
orcid_removido_llm_lote2,3721,Patricia Mendes,0000-0001-5840-0523,"eng. química Porto (adsorção), incompatível"
orcid_removido_llm_lote2,3793,Luciana de Paula Santos,0000-0003-4528-349X,"obra educação escolar UFF, homônima de nome comum"
orcid_removido_llm_lote2,3831,Lucia Koch,0009-0001-0909-4563,"research manager em Darmstadt, não é a artista ECA-USP"
orcid_removido_dificil_usuario,37,Rodrigo Miranda Feitosa,0009-0000-9120-1841,"nome exato, mas carreira em computação educacional"
orcid_removido_dificil_usuario,100,Maria Bárbara Guimarães,0000-0001-7121-8611,"nome comum, única obra é odontologia, evidência fraca"
orcid_removido_dificil_usuario,416,Luciana Saboia,0000-0002-6394-9024,nome bate mas única obra é gestão de RH
orcid_removido_dificil_usuario,422,Isis Portolan,0000-0003-4388-3512,"nome raro bate, mas única obra é agronomia"
orcid_removido_dificil_usuario,505,Gonzalo Abarca,0000-0002-0941-5611,"chileno, nome parcial, única obra é educação"
orcid_removido_dificil_usuario,1050,Felipe Moraes,0000-0002-2740-8263,"historiador Amazônia plausível, mas padrão de erro em série"
orcid_removido_dificil_usuario,1321,Raoni Lima,0000-0003-2527-1758,"uma obra fotovoltaica, nome comum, evidência insuficiente"
orcid_removido_dificil_usuario,1624,Eliana L. T. D. Ferreira,0000-0001-7978-8731,"educação inclusiva plausível para tema pedagógico, nome parcial"
orcid_removido_dificil_usuario,1709,Caroline Bauer,0000-0001-9753-2078,historiadora UFRGS da ditadura; homônima possível
orcid_removido_dificil_usuario,2136,Bárbara Cardozo Gomes,0000-0002-2339-3121,"enfermagem, mas o paper é patrimônio da saúde"
orcid_removido_dificil_usuario,2159,Bianca Ardanuy Abdala,0000-0003-1441-6771,"doutoranda UERJ plausível, nome do meio diverge"
orcid_removido_dificil_usuario,2203,Paola Maia Fagundes,0009-0009-1190-9424,"perfil vazio, nome do meio diverge"
orcid_removido_dificil_usuario,2257,Diego Claudino de Sousa Diniz,0000-0003-1275-809X,"engenheiro mecânico UFCG, coautoria em tectônica plausível"
orcid_removido_dificil_usuario,2317,Laura Costa,0009-0008-6642-0450,"obra de xilogravura/artes, homônima possível"
orcid_removido_dificil_usuario,2412,Bruno Pedro Alves de Campos,0009-0009-5940-170X,design/infografia no Canadá; possível homônimo
orcid_removido_dificil_usuario,2447,Myllena Bezerra Alves,0000-0002-4707-9532,"saúde do Cariri, mesma região, possível homônima"
orcid_removido_dificil_usuario,3321,Marcelo da Rocha Silveira,0000-0002-8212-8432,"professor UFRJ com obra barroco/cultura urbana, pode ser o autor UFOP"
orcid_removido_dificil_usuario,3583,Natália Maria Gaspar,0000-0001-7593-6872,"antropóloga com tema afim, Maria vs Morais diverge"
orcid_removido_dificil_usuario,3850,Yunlong YU,0000-0002-4809-9738,"deep learning, nome exato raro, artigo 2025 sem afiliação clara"
